kahani_cache_dev__id,kahani_cache_dev__title,kahani_cache_dev__description,kahani_cache_dev__image_url,kahani_cache_dev__bpp_id,kahani_cache_dev__unique_id,kahani_cache_dev__bpp_uri,kahani_cache_dev__item_id,kahani_cache_dev__credits,kahani_cache_dev__instructors,kahani_cache_dev__provider_id,kahani_cache_dev__provider_name,kahani_cache_dev__code,kahani_cache_dev__competency,kahani_cache_dev__contentType,kahani_cache_dev__domain,kahani_cache_dev__goal,kahani_cache_dev__language,kahani_cache_dev__link,kahani_cache_dev__sourceOrganisation,kahani_cache_dev__themes,kahani_cache_dev__minAge,kahani_cache_dev__maxAge,kahani_cache_dev__author,kahani_cache_dev__learningOutcomes,kahani_cache_dev__category,kahani_cache_dev__persona,kahani_cache_dev__license,kahani_cache_dev__conditions,kahani_cache_dev__urlType,kahani_cache_dev__mimeType,kahani_cache_dev__offeringInstitute,totalCount,translated_title
4280,Grains,first fertilizer in paddy,https://storage.googleapis.com/resources-videos/images/wheat_grains_1.png,sandbox.onest.network/adaptor-bpp/smartlab,9815e8ad6e9bd5a0e293af579e14f3d0e3dd0c2c5b90e3497c4b5a6de33203c3,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,316,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Grains
4516,PM Mudra Yojna,"Pradhan Mantri Mudra Yojana (PMMY) is an Indian government scheme aimed at extending affordable credit to micro and small enterprises. Introduced in 2015, the scheme provides loans to non-corporate, non-farm small/micro enterprises.",,kahani-bpp.tekdinext.com,accdd069417f5a237db416b737a07a052e0ad201071bd52ddfcd870221e4046a,https://kahani-bpp.tekdinext.com/,1050,,,144,Haqdarshak,,,,,,,https://www.youtube.com/watch?v=92-6FyVD6PE,,,,,,,,,,,,video/x-youtube,,,Pm wise yojna
4525,Contributory Pension Scheme,"Also known as the National Pension System (NPS), this scheme is designed to provide pension solutions to individuals in the unorganized sector, ensuring financial security and stability in old age through systematic savings during their employment years.",,kahani-bpp.tekdinext.com,be555fab946becfebc2fac60d9794911d85804fc4230309a0e0a46c058c71b9c,https://kahani-bpp.tekdinext.com/,1053,,,144,Haqdarshak,,,,,,,https://youtu.be/UwOkdp8bK_M,,,,,,,,,,,,,,,Contributory Pension Scheme
4281,Cabbage,"Cabbage (Brassica oleracea var capitata) is a small, leafy biennial producing a compact globular mass of smooth or crincled leaves wrapped over each other known as head. The outer leaves are generally larger than the inner. The stem is short and stout. Plants flower generally after winter.",https://storage.googleapis.com/resources-videos/images/cabbage_farming.jpeg,sandbox.onest.network/adaptor-bpp/smartlab,3c2f2a2d4c9a4cff09bbe1211f871c116f9132c27285240ff780af92eb08cb88,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,243,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Drinker
4517,Application of Mudra Loan via PSB Loans in 59 Minutes Portal,"The mentioned platform facilitates the application for Mudra Loans through Public Sector Banks, promising loan approval within 59 minutes. Targeted at SMEs, it enhances access to financing by speeding up the loan process for business expansion or startup.",,kahani-bpp.tekdinext.com,43143f0ea2d016e8bb22ee67ab984ba43410de65c10cfbcd8f7e5334e1eb7279,https://kahani-bpp.tekdinext.com/,1051,,,144,Haqdarshak,,,,,,,https://youtu.be/FK00jsgP-bM,,,,,,,,,,,,video/x-youtube,,,Application of Mudra Loan via PSB Loans in 59 Minutes Portal
4524,PM Kisan Samman Nidhi,"This initiative provides income support to all landholding farmers' families in India, offering ₹6,000 per year across three equal installments. It aims to supplement financial needs for procuring inputs such as seeds, fertilizers, and to support the livelihood of farmers.",,kahani-bpp.tekdinext.com,b9c9c4010281f5b7d0ffdc1ac4e9371c959e36be75f274415347802cb822e5e7,https://kahani-bpp.tekdinext.com/,1052,,,144,Haqdarshak,,,,,,,https://youtu.be/3EOwgp7_Sv4,,,,,,,,,,,,,,,Pm kisan samman nidhi
4523,PMAY Scheme,"The Pradhan Mantri Awas Yojana aims to provide affordable housing to the urban poor by 2022, offering subsidies on home loans for the construction of houses. It supports the vulnerable sections including economically weaker sections (EWS), low and middle-income groups.",,kahani-bpp.tekdinext.com,04768395b26f84f65fb0f210779229b7c861770622d8fb4b4fd280f4ba78068b,https://kahani-bpp.tekdinext.com/,1059,,,144,Haqdarshak,,,,,,,https://youtu.be/4wSC_IlxjZU,,,,,,,,,,,,video/x-youtube,,,PMAY Scheme
4353,इंटरव्यू कैसे क्रैक करें,"यह पाठ्यक्रम नौकरी साक्षात्कार में उत्कृष्टता प्राप्त करने के लिए आवश्यक कौशल और ज्ञान के साथ व्यक्तियों को सशक्त बनाने के लिए डिज़ाइन किया गया है। व्यावहारिक अंतर्दृष्टि, विशेषज्ञ मार्गदर्शन और इंटरैक्टिव अभ्यास के संयोजन के माध्यम से, प्रतिभागी सीखेंगे कि साक्षात्कार के लिए प्रभावी ढंग से तैयारी कैसे करें, सबसे कठिन साक्षात्कार में भी सफल होने के लिए सिद्ध रणनीतियों को लागू करें और आत्मविश्वास के साथ साक्षात्कार प्रक्रिया में क्या करें और क्या न करें के बारे में जानें।\n\nThis course is designed to empower individuals with the essential skills and knowledge needed to excel in job interviews. Through a combination of practical insights, expert guidance, and interactive exercises, participants will learn how to effectively prepare for interviews, implement proven strategies to crack even the toughest interviews and navigate the do's and don'ts of the interview process with confidence.",,kahani-bpp.tekdinext.com,3ee2585d3b947fca55807b2fe08f85556e21af1f335d26d5007cf692290470c7,https://kahani-bpp.tekdinext.com/,336,,,142,Vowel,,,,,,,https://trial.vowel.work/Onestcontent/course-library/cracking-interviews-hindi,,,,,,,,,,,,,,,How to crack interview
4357,ग्राहकों के साथ बातचीत - बेचना और समझाना,"यह पाठ्यक्रम बिक्री पेशेवरों को ग्राहकों के साथ सफलतापूर्वक बातचीत करने के लिए आवश्यक कौशल और रणनीतियों से लैस करने के लिए डिज़ाइन किया गया है। सैद्धांतिक अवधारणाओं, व्यावहारिक अभ्यासों और वास्तविक दुनिया के उदाहरणों के संयोजन के माध्यम से, प्रतिभागी सीखेंगे कि कैसे संबंध बनाया जाए, ग्राहकों की जरूरतों को उजागर किया जाए और ग्राहकों को खरीदारी संबंधी निर्णय लेने के लिए प्रभावी ढंग से राजी किया जाए।\n\nThis course is designed to equip sales professionals with the essential skills and strategies needed to navigate negotiations with customers successfully. Through a combination of theoretical concepts, practical exercises, and real-world examples, participants will learn how to build rapport, uncover customer needs, and effectively persuade and convince customers to make purchasing decisions.",,kahani-bpp.tekdinext.com,34fef8f4b6171623912e575fb19edb919e772562be183e995362f8e64339fa6b,https://kahani-bpp.tekdinext.com/,342,,,142,Vowel,,,,,,,https://trial.vowel.work/Onestcontent/course-library/negotiation-with-customers-selling-and-convincing,,,,,,,,,,,,,,,Interactions with customers - sell and explain
4246,Okra/Lady finger farming,Okra/Lady finger farming,https://storage.googleapis.com/resources-videos/images/Bhindi.png,sandbox.onest.network/adaptor-bpp/smartlab,008e2168daa4e904ea80dd9bb31dd9597ca0da2bc3c0c36a7892a817c5c36d4d,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,299,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Okra/Lady Finger Farming
4247,Understanding Soil,Understanding Soil,https://storage.googleapis.com/resources-videos/images/Understanding%20our%20soil.png,sandbox.onest.network/adaptor-bpp/smartlab,f16ef71beb65efbf8a89e64e0ac7f901aa81bbab34de70fe2d1d626d3d40a1f0,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,308,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Understanding Soil
4250,Profit in farming business,Profit in farming business,https://storage.googleapis.com/resources-videos/images/Farming%20Business.png,sandbox.onest.network/adaptor-bpp/smartlab,b37ad8c8827420db7bc529ac9f2c4dc892e3d5c063853bf32c922d83e72c92f1,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,307,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Profit in farming business
4257,Rice,"Rice is mainly grown in rain-fed areas that receive heavy annual rainfall. That is why it is fundamentally a kharif crop in India. It demands a temperature of around 25 degrees Celsius and above, and rainfall of more than 100 cm (39 in). Rice is also grown through irrigation in those areas that receive less rainfall.",https://storage.googleapis.com/resources-videos/images/rice_farming.jpeg,sandbox.onest.network/adaptor-bpp/smartlab,2948370fa7750cfd719b1f25ba3d90798bcd67a7a478d979abdd8876b2bf3e55,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,282,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Rice
4274,Rice,Rice farming a reckoning,https://storage.googleapis.com/resources-videos/images/rice.png,sandbox.onest.network/adaptor-bpp/smartlab,f8e9398d1740b8d34d02ae14bc45ae63cc999b8659aee74b886f0bd3e18e92aa,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,313,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Rice
4358,इंटरनेट का परिचय और स्मार्टफोन का उपयोग,"आज की परस्पर जुड़ी दुनिया में, व्यक्तिगत और व्यावसायिक दोनों प्रयासों के लिए इंटरनेट और स्मार्टफोन का उपयोग करने में दक्षता आवश्यक है। इस परिचयात्मक पाठ्यक्रम का उद्देश्य व्यक्तियों को इंटरनेट की शक्ति का उपयोग करने और अपने स्मार्टफ़ोन की क्षमताओं को प्रभावी ढंग से अधिकतम करने के लिए आवश्यक युक्तियों और कौशल से लैस करना है।\n\n\nIn today's interconnected world, proficiency in using the internet and smartphones is essential for both personal and professional endeavours. This introductory course aims to equip individuals with thetips and skills needed to harness the power of the internet and maximize the capabilities of their smartphones effectively.",,kahani-bpp.tekdinext.com,c324ed91526e93c1bd55df6110a5c0fd904a7bf995d40181792f3117a0429ced,https://kahani-bpp.tekdinext.com/,341,,,142,Vowel,,,,,,,https://trial.vowel.work/Onestcontent/course-library/introduction-to-the-internet-and-using-a-smartphone,,,,,,,,,,,,,,,Introduction to Internet and use of smartphones
4248,Earthworm Compost,Earthworm Compost,https://storage.googleapis.com/resources-videos/images/Earthworm%20Compost.png,sandbox.onest.network/adaptor-bpp/smartlab,e6256829c3e8dbe5ec871f97c93e1ee34783c37315f20ac23dfffabad176a465,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,304,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Earthworm Compost
4259,Grains,When and how to cultivate paddy,https://storage.googleapis.com/resources-videos/images/what_grains.png,sandbox.onest.network/adaptor-bpp/smartlab,169dc13cdab00069363b145f47f481495ae5389d4ab2d0bfe36517e315a059b6,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,312,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Grains
4272,First water to wheat,When to give first water to wheat? which fertilizer to apply,https://storage.googleapis.com/resources-videos/images/grains_wheat_3.png,sandbox.onest.network/adaptor-bpp/smartlab,73b1144553725b5f876eccb46dac69ddf1ed031ab9c66a80ce014d9a65d9e29c,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,319,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,First water to wheat
4359,नेटवर्किंग और संबंध निर्माण,"यह पाठ्यक्रम प्रतिभागियों को सार्थक रिश्ते विकसित करने और अपने पेशेवर नेटवर्क का विस्तार करने के लिए आवश्यक कौशल और रणनीतियों से लैस करने के लिए डिज़ाइन किया गया है। व्यावहारिक तकनीकों और वास्तविक दुनिया के उदाहरणों के मिश्रण के माध्यम से, प्रतिभागी सीखेंगे कि प्रामाणिक कनेक्शन कैसे बनाएं, नेटवर्किंग के अवसरों का लाभ कैसे उठाएं और व्यक्तिगत और व्यावसायिक विकास के लिए एक ठोस आधार तैयार करें।\n\nThis course is designed to equip participants with the skills and strategies needed to cultivate meaningful relationships and expand their professional network. Through a blend of practical techniques and real-world examples, participants will learn how to build authentic connections, leverage networking opportunities, and create a solid foundation for personal and professional growth.",,kahani-bpp.tekdinext.com,02165a20b56104ef7d6653f0bf84545448f8ac82bf515a6567e62c74a14ab65c,https://kahani-bpp.tekdinext.com/,338,,,142,Vowel,,,,,,,https://trial.vowel.work/Onestcontent/course-library/networking-and-relationship-building,,,,,,,,,,,,,,,Networking and relationship construction
4249,Integrated farming model,Integrated farming model,https://storage.googleapis.com/resources-videos/images/Integrated%20farming.png,sandbox.onest.network/adaptor-bpp/smartlab,42a33d1dc79af82e262acd05dfcce09924826c8f66b8eec7db4539a4f3e3b224,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,302,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Integrated Farming Model
4258,Wheat fertilizer,Which fertilizer should be applied in wheat crop,https://storage.googleapis.com/resources-videos/images/grains_wheat_5.jpg,sandbox.onest.network/adaptor-bpp/smartlab,f5222c88b0ef358674a50f83e342c35da4383a2914638064e46174981097c21f,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,318,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Wheat fertilizer
4276,Everyday Conversational English,"<p><strong>Course Overview:</strong><br>Welcome to 'Everyday Conversational English,' your key to mastering essential language skills for real-life communication. Tailored for all levels, this course offers:</p><ol><li><strong>Practical Vocabulary:</strong><br>Learn everyday expressions for seamless communication.</li><li><strong>Interactive Role-Playing:</strong><br>Apply knowledge through immersive exercises for real-world scenarios.</li><li><strong>Cultural Insights:</strong><br>Gain cultural nuances to connect authentically in conversations.</li><li><strong>Real-Life Scenarios:</strong><br>Navigate common situations with confidence-building tools.</li><li><strong>Quiz Assessments:</strong><br>Reinforce learning through quizzes for ongoing skill development.</li></ol><p><strong>Why Take This Course:</strong></p><ul><li><strong>Personal & Professional Growth:</strong><br>Enhance personal connections and gain a professional edge.</li><li><strong>Cultural Fluency:</strong><br>Understand and engage with diverse cultures confidently.</li><li><strong>Life-Long Skill:</strong><br>Develop a valuable skill applicable across various life stages.</li></ul><p>Join 'Everyday Conversational English' and elevate your communication for meaningful connections and success.</p>",https://infyspringboard.onwingspan.com/web/assets/images/infosysheadstart/everyday-conversational-english.png,le-ps-bpp-network.onest.network,1ce16d4384287d60bf52f1d815969f2ae385420e38ed0e0e52d85991765666a4,https://le-ps-bpp-network.onest.network/,d4975df5-b18c-4772-80ad-368669856d52,,,INFOSYS,Infosys Springboard,,,,,,,,,,,,,,,,,,,,,,Everyday Conversational English
4526,PM Vishwakarma Yojana,"Launched to support traditional artisans and craftspeople in India, this scheme provides financial assistance, training, and support for modern tools and equipment. It aims to preserve and promote indigenous crafts and create sustainable livelihood opportunities.",,kahani-bpp.tekdinext.com,c8044ca563370fe52082a7d15d2bd5192004948d15c0d0b6ba1e72bdb32e73d6,https://kahani-bpp.tekdinext.com/,1060,,,144,Haqdarshak,,,,,,,https://youtu.be/5NvV9pk8E6I,,,,,,,,,,,,video/x-youtube,,,PM Vishwakarma Yojana
4360,बेहतर ब्लू-कॉलर अवसरों की तलाश कैसे करें,"यह व्यापक पाठ्यक्रम विशेष रूप से नवीकरणीय ऊर्जा में अवसरों पर ध्यान केंद्रित करते हुए, ब्लू-कॉलर नौकरियों की दुनिया में एक गहरी जानकारी प्रदान करता है। ब्लू-कॉलर व्यवसायों की मूल बातें समझने से लेकर ईवी चार्जिंग और सौर ऊर्जा जैसे विशेष क्षेत्रों की खोज तक, प्रतिभागियों को टिकाऊ ऊर्जा क्षेत्र में एक पुरस्कृत कैरियर बनाने में मूल्यवान अंतर्दृष्टि प्राप्त होगी।\n\n\nThis comprehensive course offers a deep dive into the world of blue-collar jobs, focusing specifically on opportunities in renewable energy. From understanding the basics of blue-collar professions to exploring specialized fields like EV charging and solar energy, participants will gain valuable insights into building a rewarding career in the sustainable energy sector.",,kahani-bpp.tekdinext.com,4550d950f5ef3ef65a5a259e4f67a2cd1101ff606c03f3d663081fed784e447f,https://kahani-bpp.tekdinext.com/,334,,,142,Vowel,,,,,,,https://trial.vowel.work/Onestcontent/course-library/how-to-look-for-better-opportunities-as-a-blue-collar-worker-hindi,,,,,,,,,,,,,,,How to seek better blue-collar opportunities
4251,Millet,"Millets are small - grained, annual, warm - weather cereals belonging to grass family. They are rain - fed, hardy grains which have low requirements of water and fertility when compared to other popular cereals. They are highly tolerant to drought and other extreme weather conditions",https://storage.googleapis.com/resources-videos/images/millet_farming.jpeg,sandbox.onest.network/adaptor-bpp/smartlab,61ed1ef5b3eb2ad82054a885d3b3832aa87a01072198c88ceb77681ff8d77760,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,285,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Millet
4260,Krishi Loans,Krishi Loans,https://storage.googleapis.com/resources-videos/images/Krishi%20Loan.png,sandbox.onest.network/adaptor-bpp/smartlab,6c29a9c217500002cdbe028b0e20eb3744f05e9b609ea6bda40a329370257e4a,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,305,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Krishi loans
4278,Rice,Complete information about direct sowing of rice,https://storage.googleapis.com/resources-videos/images/rice_sowing.png,sandbox.onest.network/adaptor-bpp/smartlab,5f2f8e235648c2bff8b817b17a308aaf051d912bb40bfce31be0c1d0416fc555,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,315,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Rice
4361,नौकरियों के लिए ऑनलाइन फॉर्म कैसे भरें,"आज के डिजिटल युग में, नौकरी आवेदन प्रक्रिया अक्सर ऑनलाइन फॉर्म भरने से शुरू होती है। यह पाठ्यक्रम प्रतिभागियों को आत्मविश्वास और दक्षता के साथ ऑनलाइन नौकरी आवेदन फॉर्म को नेविगेट करने और सफलतापूर्वक पूरा करने के लिए आवश्यक कौशल और ज्ञान से लैस करने के लिए डिज़ाइन किया गया है। संभावित नियोक्ताओं के सामने खड़े होने के लिए ऑनलाइन आवेदन फॉर्म के विभिन्न घटकों को समझने से लेकर, प्रतिभागी अपनी नौकरी खोज प्रक्रिया को सुव्यवस्थित करने और अपनी वांछित भूमिका पाने की संभावनाओं को बढ़ाने के लिए मूल्यवान रणनीतियाँ सीखेंगे।\n\n\nIn today's digital age, the job application process often begins with filling out online forms. This course is designed to equip participants with the necessary skills and knowledge to navigate and successfully complete online job application forms with confidence and efficiency. From understanding the various components of online application forms to stand out to potential employers, participants will learn valuable strategies to streamline their job search process and increase their chances of landing their desired roles.",,kahani-bpp.tekdinext.com,d6d10b7342eda966edec8d1fc59770a31e6c29d8aab1c529bedc3a3f2ea1c2a7,https://kahani-bpp.tekdinext.com/,340,,,142,Vowel,,,,,,,https://trial.vowel.work/Onestcontent/course-library/how-to-fill-form-for-jobs-online,,,,,,,,,,,,,,,How to fill online form for jobs
4252,Growing Tomato,Growing Tomato,https://storage.googleapis.com/resources-videos/images/How%20to%20grow%20Tomatoes.png,sandbox.onest.network/adaptor-bpp/smartlab,0f3a9c48739beaa8395a9eddf9d47ab259fcd933555c1a908c2434243be3e3ad,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,311,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Growing Tomato
4268,Agriculture loan,Agriculture loan,https://storage.googleapis.com/resources-videos/images/Agri%20Loans.png,sandbox.onest.network/adaptor-bpp/smartlab,59e4360975d3d3a8fd94a0c3c35e058029606035da0b710d33bd7c89e76b67e6,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,306,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Agriculture loan
4362,पैसे बचाएं के तकनीकें,"आज की तेज़-तर्रार दुनिया में, वित्तीय स्थिरता और दीर्घकालिक सफलता प्राप्त करने के लिए वित्तीय साक्षरता आवश्यक है। यह पाठ्यक्रम प्रतिभागियों को अपने वित्त को प्रभावी ढंग से प्रबंधित करने, पैसे बचाने और धन निर्माण की नींव रखने के लिए व्यावहारिक रणनीतियाँ और कार्रवाई योग्य युक्तियाँ प्रदान करने के लिए डिज़ाइन किया गया है।\n\n\nIn today's fast-paced world, financial literacy is essential for achieving financial stability and long-term success. This course is designed to provide participants with practical strategies and actionable tips to effectively manage their finances, save money, and lay the foundation for building wealth.",,kahani-bpp.tekdinext.com,c04c9b7bb46f025dbe6497f76a64d1e88148f3dd6e3445307b8e2652a0db6b82,https://kahani-bpp.tekdinext.com/,339,,,142,Vowel,,,,,,,https://trial.vowel.work/Onestcontent/course-library/how-to-save-money,,,,,,,,,,,,,,,Save money techniques
4253,Drip Irrigation farming,"Drip irrigation involves placing tubing with emitters on the ground along side the plants. The emitters slowly drip water into the soil at the root zone. Because moisture levels are kept at an optimal range, plant productivity and quality improve",https://storage.googleapis.com/resources-videos/images/Drip%20irrigation_farming.jpeg,sandbox.onest.network/adaptor-bpp/smartlab,f5a4e6d6192d6d86bf8a938f747eae116a9b2a3150780ab912cd162055aba03c,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,220,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Drip Irrigation farming
4271,Different Types of irrigation,Different Types of irrigation,https://storage.googleapis.com/resources-videos/images/Irrigation.png,sandbox.onest.network/adaptor-bpp/smartlab,56c0d8c332ce20f84e1091a7eca0a5e429f9729eb24013e19559db7cab0c4fb8,https://sandbox.onest.network/adaptor-bpp/smartlab/bpp,290,,,PtAgriLearning,PtAgriLearning,,,,,,,,,,,,,,,,,,,,,,Different Types of irrigation
